noisy_path,clean_path,snr_db
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00044.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00044.wav,4.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00045.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00045.wav,4.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00046.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00046.wav,0.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00047.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00047.wav,13.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00048.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00048.wav,-0.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00049.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00049.wav,4.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00050.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00050.wav,-7.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00051.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00051.wav,13.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00052.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00052.wav,-4.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00053.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00053.wav,14.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00054.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00054.wav,1.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00055.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00055.wav,10.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00056.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00056.wav,-0.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00057.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00057.wav,-0.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00058.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00058.wav,-8.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00059.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00059.wav,4.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00060.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00060.wav,-4.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00061.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00061.wav,6.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00062.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00062.wav,13.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00063.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00063.wav,9.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00064.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00064.wav,6.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00065.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00065.wav,-4.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00066.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00066.wav,5.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00067.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00067.wav,3.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00068.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00068.wav,10.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00069.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00069.wav,-4.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00070.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00070.wav,9.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00071.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00071.wav,13.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00072.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00072.wav,8.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00073.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00073.wav,-0.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00074.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00074.wav,-3.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00075.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00075.wav,-0.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00076.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00076.wav,-9.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00077.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00077.wav,0.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00078.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00078.wav,-0.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00079.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00079.wav,12.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00080.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00080.wav,10.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00081.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00081.wav,8.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00082.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00082.wav,-7.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00083.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00083.wav,-5.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00084.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00084.wav,9.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00085.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00085.wav,-0.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00086.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00086.wav,0.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00087.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00087.wav,-8.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00088.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00088.wav,-7.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00089.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00089.wav,4.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00090.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00090.wav,2.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00091.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00091.wav,-5.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00092.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00092.wav,12.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00093.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00093.wav,-7.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00094.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00094.wav,10.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00095.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00095.wav,3.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00096.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00096.wav,6.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00097.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00097.wav,-0.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00098.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00098.wav,12.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00099.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00099.wav,2.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00100.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00100.wav,2.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00101.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00101.wav,3.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00102.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00102.wav,9.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00103.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00103.wav,2.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00104.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00104.wav,4.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00105.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00105.wav,7.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00106.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00106.wav,12.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00107.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00107.wav,-4.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00108.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00108.wav,7.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00109.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00109.wav,-2.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00110.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00110.wav,10.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00111.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00111.wav,3.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00112.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00112.wav,2.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00113.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00113.wav,10.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00114.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00114.wav,-7.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00115.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00115.wav,-3.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00116.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00116.wav,0.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00117.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00117.wav,-9.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00118.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00118.wav,-2.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00119.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00119.wav,10.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00120.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00120.wav,4.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00121.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00121.wav,-0.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00122.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00122.wav,-3.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00123.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00123.wav,6.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00124.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00124.wav,10.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00125.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00125.wav,-6.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00126.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00126.wav,10.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00127.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00127.wav,-6.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00128.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00128.wav,-1.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00129.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00129.wav,-1.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00130.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00130.wav,-5.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00131.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00131.wav,6.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00132.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00132.wav,-7.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00133.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00133.wav,-0.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00134.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00134.wav,-4.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00135.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00135.wav,-7.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00136.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00136.wav,7.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00137.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00137.wav,-5.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00138.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00138.wav,10.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00139.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00139.wav,6.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00140.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00140.wav,-3.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00141.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00141.wav,4.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00142.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00142.wav,-7.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00143.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00143.wav,7.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00144.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00144.wav,-4.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00145.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00145.wav,-6.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00146.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00146.wav,-7.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00147.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00147.wav,8.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00148.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00148.wav,-2.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00149.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00149.wav,-4.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00150.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00150.wav,10.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00151.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00151.wav,2.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00152.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00152.wav,12.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00153.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00153.wav,1.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00154.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00154.wav,4.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00155.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00155.wav,13.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00156.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00156.wav,-2.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00157.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00157.wav,-8.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00158.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00158.wav,-3.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00159.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00159.wav,-5.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00160.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00160.wav,0.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00161.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00161.wav,-4.9
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00162.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00162.wav,2.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00163.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00163.wav,-6.6
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00164.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00164.wav,5.3
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00165.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00165.wav,-6.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00166.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00166.wav,13.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00167.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00167.wav,6.7
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00168.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00168.wav,4.5
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00169.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00169.wav,-2.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00170.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00170.wav,14.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00171.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00171.wav,-0.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00172.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00172.wav,-6.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00173.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00173.wav,5.0
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00174.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00174.wav,14.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00175.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00175.wav,9.1
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00176.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00176.wav,7.2
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00177.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00177.wav,-6.4
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00178.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00178.wav,7.8
C:\Users\jeswa\Downloads\file\data\train_set\noisy\synth_00179.wav,C:\Users\jeswa\Downloads\file\data\train_set\clean\synth_00179.wav,14.1
